City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Kobrinskoye,RU,2022-02-03 23:16:43,59.4225,30.1239,0.7,100,91,2.26
272,Yarkovo,RU,2022-02-03 23:16:43,57.4028,67.0786,26.76,94,100,13.49
273,Marzuq,YE,2022-02-03 23:16:44,14.4,46.4667,59.97,30,0,1.95
274,Chingirlau,KZ,2022-02-03 23:16:44,51.095,54.0814,27.55,86,100,13.87
275,Half Moon Bay,US,2022-02-03 23:16:44,37.4636,-122.4286,66.92,48,75,0.0
276,Souillac,MU,2022-02-03 23:16:45,-20.5167,57.5167,80.98,89,75,25.32
277,Novaya Lyada,RU,2022-02-03 23:16:45,52.7131,41.6387,26.76,97,100,8.39
278,Kahama,TZ,2022-02-03 23:16:45,-3.8333,32.6,62.89,94,100,2.51
279,Evensk,RU,2022-02-03 23:16:46,61.95,159.2333,10.81,49,72,20.78
280,Paita,PE,2022-02-03 23:16:46,-5.0892,-81.1144,73.92,75,50,19.73
281,Adrar,MR,2022-02-03 23:16:47,20.5022,-10.0711,64.2,16,1,10.31
282,Gwadar,PK,2022-02-03 23:16:48,25.1216,62.3254,67.8,48,0,9.98
283,Lubartow,PL,2022-02-03 23:16:48,51.4603,22.6095,34.66,93,100,7.0
284,Belmonte,BR,2022-02-03 23:16:48,-15.8631,-38.8828,81.1,81,21,7.29
285,Genhe,CN,2022-02-03 23:16:49,50.7833,121.5167,-18.53,99,64,2.73
286,Khandyga,RU,2022-02-03 23:16:49,62.6667,135.6,-37.25,100,92,2.17
287,Coos Bay,US,2022-02-03 23:16:49,43.3665,-124.2179,56.86,89,0,12.66
288,Dolores,AR,2022-02-03 23:16:50,-36.3132,-57.6792,70.38,81,87,5.68
289,Jacmel,HT,2022-02-03 23:16:50,18.2342,-72.5347,84.04,80,16,3.65
290,Bud,US,2022-02-03 23:16:51,39.447,-86.1758,21.85,93,100,18.63
291,Asau,RO,2022-02-03 23:16:51,46.4333,26.4,24.96,90,85,4.94
292,Elko,US,2022-02-03 23:15:16,41.0002,-115.5012,34.05,55,14,3.13
